pxcor,pycor,pcolor,plabel,plabel-color,name,accessibility,ward-number,density,total0,total00,b51,b52,b53,b54,b55,b201,b202,b203,b204,b205,b501,b502,b503,b504,b505,b1001,b1002,b1003,b1004,b1005,b5001,b5002,b5003,b5004,b5005,s51,s52,s53,s54,s55,s201,s202,s203,s204,s205,s501,s502,s503,s504,s505,s1001,s1002,s1003,s1004,s1005,s5001,s5002,s5003,s5004,s5005
-10,37,0,,9.9,Cockfosters,1.5,309,0.0625,0.636363636,0.181818182,0,,1,1,,,1,0,,0.5,,1,,1,0.5,1,1,,0.333333333,,,0.666666667,,,1,0,0,0,0,0,0.5,0,0,0,0,,,0,0,,,,,0,0.5,,1,0.5,1,0.5
-15,34,0,,9.9,High Barnet,1.5,189,0.827586207,0.493865031,0.39787234,0.466666667,0.230769231,0.307692308,0,0,0.5,0.5,0.461538462,0.45,0,0.666666667,0.583333333,0.545454545,0.529411765,0.642857143,0.769230769,0.75,0.363636364,0.625,0.571428571,0.533333333,0.692307692,0.692307692,0.555555556,0.6,0.428571429,0.052631579,0.230769231,0.043478261,0,0.347826087,0.666666667,0.352941176,0.352941176,0.074074074,0.48,0.529411765,0.5,0.5,0.307692308,0.529411765,0.636363636,0.555555556,0.533333333,0.55,0.705882353,0.266666667,0.473684211,0.578947368,0.5
-11,32,0,,9.9,East Barnet,2,205,0.090909091,0.2,0.380952381,,,0,,,,,0,,,,,,,,,,0,,,0,,1,,,0,0,0,,0,,,,,0,,,1,,,0.5,0,,0,0,1,0,1,1,0.5
-15,31,0,,9.9,Underhill,1.5,188,0.615384615,0.4375,0.416149068,0,1,0.5,0,0,0.75,0,0.333333333,0,0.333333333,0.666666667,0.75,0.4,1,0.333333333,0.75,1,0.571428571,0.5,0.25,0.666666667,0.25,0.666666667,0.8,0.333333333,0.5,0.090909091,0.4,,0,1,0.428571429,0.8,0,0.222222222,0,0.125,0.714285714,0.75,0.333333333,0.166666667,0.222222222,0.8,0.8,0.833333333,0.5,0.625,0.25,0.666666667,0.714285714
-12,30,0,,9.9,Oakleigh,2,201,0.7,0.505376344,0.413333333,0.25,0.5,0.5,0,0,0.75,1,0.75,0.25,0.25,0.666666667,0,1,0.4,0.5,0.8,0.75,1,0.714285714,0,1,0.75,0.75,0,0.5,0.4,0.111111111,0,0,0,0.666666667,0.714285714,0.333333333,0.166666667,0.222222222,0.25,0.285714286,1,0.166666667,0.285714286,0.8,0.833333333,0.857142857,0.75,0.5,0.666666667,0.333333333,0.666666667,0.4,0.384615385
-23,29,0,,9.9,Hale,1.5,199,1.736842105,0.480295567,0.34352518,0.2,0.5,0.105263158,0,0,0.727272727,0.647058824,0.636363636,0.352941176,0,0.684210526,0.52173913,0.555555556,0.588235294,0.375,0.6875,0.6,0.5,0.466666667,0.5,0.5,0.736842105,0.619047619,0.5,0.785714286,0.4,0.111111111,0.037037037,0.033333333,0.086956522,0.266666667,0.259259259,0.318181818,0.25,0.083333333,0.45,0.583333333,0.551724138,0.304347826,0.315789474,0.2,0.411764706,0.391304348,0.571428571,0.333333333,0.555555556,0.5,0.56,0.464285714,0.526315789
-14,29,0,,9.9,Totteridge,1.5,200,1.923076923,0.504373178,0.401219512,0.444444444,0.230769231,0.107142857,0.052631579,0,0.769230769,0.615384615,0.6,0.380952381,0.291666667,0.694444444,0.545454545,0.5,0.608695652,0.28,0.555555556,0.769230769,0.523809524,0.592592593,0.612903226,0.642857143,0.59375,0.7,0.583333333,0.714285714,0.333333333,0.25,0.081081081,0.12,0,0.424242424,0.261904762,0.451612903,0.2,0.290322581,0.5,0.709677419,0.428571429,0.540540541,0.382352941,0.483870968,0.625,0.517241379,0.37037037,0.465116279,0.666666667,0.615384615,0.393939394,0.555555556,0.428571429
-29,28,0,,9.9,Canons,1.5,155,0.421052632,0.627659574,0.379746835,1,0.75,0.25,0,0,0.75,1,0.75,0.5,0.5,1,0.6,0.5,0.5,1,0.8,0.75,0.75,0.75,0,0.833333333,1,0.6,0.75,0.571428571,0,0.166666667,0,0,0,0.428571429,0,0.333333333,0.307692308,0.428571429,0.5,0.555555556,0.5,0.5,0.6,0.555555556,0.166666667,0.6,0.333333333,0.4,0.166666667,0.666666667,0.666666667,0.5,0.166666667
-26,28,0,,9.9,Edgware,1.5,197,1.666666667,0.524861878,0.40648855,0.636363636,0.2,0.222222222,0.0625,0,0.6875,0.928571429,0.266666667,0.375,0.5,0.714285714,0.666666667,0.615384615,0.352941176,0.333333333,0.5,0.555555556,1,0.526315789,0.4,0.666666667,0.7,0.875,0.625,0.727272727,0.375,0.045454545,0.090909091,0,0.142857143,0.25,0.428571429,0.47826087,0.4,0.058823529,0.428571429,0.666666667,0.454545455,0.2,0.291666667,0.739130435,0.5,0.5625,0.636363636,0.375,0.608695652,0.608695652,0.444444444,0.588235294,0.5
-8,28,0,,9.9,Brunswick Park,2,204,0.4,0.608695652,0.408450704,0.6,0.5,0,0,0,0.666666667,0.6,1,1,0,0.714285714,,1,0,1,,1,1,1,1,0.5,0.75,0,1,0.75,0.4,0.25,0.333333333,0,0,0.25,0.5,0,0.333333333,0,0.333333333,0.5,0.75,1,0.4,1,0.666666667,1,1,0.666666667,0.333333333,0,1,1,0
